node,received,sent,energy
node132,28,0.0,14.0
node138,28,0.0,14.0
node144,28,0.0,14.0
node146,28,0.0,14.0
node135,28,0.0,14.0
node137,28,0.0,14.0
node145,28,0.0,14.0
node147,28,0.0,14.0
node148,28,0.0,14.0
node143,28,0.0,14.0
node149,28,0.0,14.0
node134,28,0.0,14.0
node150,28,0.0,14.0
node140,28,0.0,14.0
node133,28,0.0,14.0
node141,28,0.0,14.0
node139,28,0.0,14.0
node142,28,0.0,14.0
node131,27,0.0,13.5
node136,26,0.0,13.0
node105,5,0.0,2.5
node120,5,0.0,2.5
node97,5,0.0,2.5
node90,5,0.0,2.5
node101,5,0.0,2.5
node76,5,0.0,2.5
node89,5,0.0,2.5
node112,5,0.0,2.5
node86,5,0.0,2.5
node78,5,0.0,2.5
node73,5,0.0,2.5
node92,5,0.0,2.5
node113,5,0.0,2.5
node118,5,0.0,2.5
node103,5,0.0,2.5
node88,5,0.0,2.5
node75,5,0.0,2.5
node116,5,0.0,2.5
node115,5,0.0,2.5
node108,5,0.0,2.5
node85,5,0.0,2.5
node94,5,0.0,2.5
node104,5,0.0,2.5
node74,5,0.0,2.5
node111,5,0.0,2.5
node99,5,0.0,2.5
node102,5,0.0,2.5
node81,5,0.0,2.5
node106,5,0.0,2.5
node87,5,0.0,2.5
node119,5,0.0,2.5
node93,5,0.0,2.5
node98,5,0.0,2.5
node95,5,0.0,2.5
node109,5,0.0,2.5
node83,5,0.0,2.5
node100,5,0.0,2.5
node79,5,0.0,2.5
node82,5,0.0,2.5
node96,5,0.0,2.5
node114,5,0.0,2.5
node117,5,0.0,2.5
node91,5,0.0,2.5
node107,5,0.0,2.5
node110,5,0.0,2.5
node77,5,0.0,2.5
node84,5,0.0,2.5
node80,5,0.0,2.5
node56,4,0.0,2.0
node60,4,0.0,2.0
node49,4,0.0,2.0
node54,4,0.0,2.0
node43,4,0.0,2.0
node53,4,0.0,2.0
node58,4,0.0,2.0
node44,4,0.0,2.0
node34,4,0.0,2.0
node35,4,0.0,2.0
node61,4,0.0,2.0
node62,4,0.0,2.0
node52,4,0.0,2.0
node46,4,0.0,2.0
node37,4,0.0,2.0
node72,4,0.0,2.0
node32,4,0.0,2.0
node64,4,0.0,2.0
node33,4,0.0,2.0
node70,4,0.0,2.0
node38,4,0.0,2.0
node50,4,0.0,2.0
node40,4,0.0,2.0
node36,4,0.0,2.0
node45,4,0.0,2.0
node47,4,0.0,2.0
node57,4,0.0,2.0
node71,4,0.0,2.0
node59,4,0.0,2.0
node67,4,0.0,2.0
node66,4,0.0,2.0
node65,4,0.0,2.0
node42,4,0.0,2.0
node55,4,0.0,2.0
node39,4,0.0,2.0
node48,4,0.0,2.0
node69,4,0.0,2.0
node51,4,0.0,2.0
node41,4,0.0,2.0
node63,4,0.0,2.0
node26,3,0.0,1.5
node68,3,0.0,1.5
node19,3,0.0,1.5
node29,3,0.0,1.5
node15,3,0.0,1.5
node14,3,0.0,1.5
node31,3,0.0,1.5
node2,3,0.0,1.5
node25,3,0.0,1.5
node27,3,0.0,1.5
node12,3,0.0,1.5
node13,3,0.0,1.5
node8,3,0.0,1.5
node20,3,0.0,1.5
node17,3,0.0,1.5
node28,3,0.0,1.5
node30,3,0.0,1.5
node21,3,0.0,1.5
node7,3,0.0,1.5
node18,3,0.0,1.5
node22,3,0.0,1.5
node9,3,0.0,1.5
node11,3,0.0,1.5
node4,3,0.0,1.5
node6,3,0.0,1.5
node10,3,0.0,1.5
node23,3,0.0,1.5
node3,3,0.0,1.5
node24,3,0.0,1.5
node16,3,0.0,1.5
node5,3,0.0,1.5
node1,3,0.0,1.5
node123,2,0.0,1.0
node128,2,0.0,1.0
node125,2,0.0,1.0
node126,2,0.0,1.0
node127,2,0.0,1.0
node122,2,0.0,1.0
node130,2,0.0,1.0
node124,2,0.0,1.0
node121,2,0.0,1.0
node129,2,0.0,1.0
