node,count
node132,28
node138,28
node144,28
node146,28
node135,28
node137,28
node145,28
node147,28
node148,28
node143,28
node149,28
node134,28
node150,28
node140,28
node133,28
node141,28
node139,28
node142,28
node131,27
node136,26
node105,5
node120,5
node97,5
node90,5
node101,5
node76,5
node89,5
node112,5
node86,5
node78,5
node73,5
node92,5
node113,5
node118,5
node103,5
node88,5
node75,5
node116,5
node115,5
node108,5
node85,5
node94,5
node104,5
node74,5
node111,5
node99,5
node102,5
node81,5
node106,5
node87,5
node119,5
node93,5
node98,5
node95,5
node109,5
node83,5
node100,5
node79,5
node82,5
node96,5
node114,5
node117,5
node91,5
node107,5
node110,5
node77,5
node84,5
node80,5
node56,4
node60,4
node49,4
node54,4
node43,4
node53,4
node58,4
node44,4
node34,4
node35,4
node61,4
node62,4
node52,4
node46,4
node37,4
node72,4
node32,4
node64,4
node33,4
node70,4
node38,4
node50,4
node40,4
node36,4
node45,4
node47,4
node57,4
node71,4
node59,4
node67,4
node66,4
node65,4
node42,4
node55,4
node39,4
node48,4
node69,4
node51,4
node41,4
node63,4
node26,3
node68,3
node19,3
node29,3
node15,3
node14,3
node31,3
node2,3
node25,3
node27,3
node12,3
node13,3
node8,3
node20,3
node17,3
node28,3
node30,3
node21,3
node7,3
node18,3
node22,3
node9,3
node11,3
node4,3
node6,3
node10,3
node23,3
node3,3
node24,3
node16,3
node5,3
node1,3
node123,2
node128,2
node125,2
node126,2
node127,2
node122,2
node130,2
node124,2
node121,2
node129,2
