node,from,msg_id,hop,ttl,payload,timestamp
node31,172.18.0.10,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.4962509
node31,172.18.0.10,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.6016498
node31,172.18.0.10,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.7058225
node31,172.18.0.10,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.8073244
node35,172.20.0.15,efff73e5-805a-49c0-9eba-aea4c7488abe,11,0,"{'temperature': 28.07, 'humidity': 53.19}",1746644085.6111393
node35,172.20.0.15,8cb769bd-4346-4ea6-ac0b-ddee714b50ed,11,0,"{'temperature': 22.7, 'humidity': 43.87}",1746644095.8865132
node35,172.20.0.15,7e23eab1-ceec-4136-b2b0-effd90d55114,11,0,"{'temperature': 23.98, 'humidity': 44.46}",1746644106.2120397
node35,172.20.0.15,0c75e3ef-cdf0-4a8d-b342-cae62c5eda92,11,0,"{'temperature': 26.24, 'humidity': 50.02}",1746644116.519819
node27,172.20.0.27,359d3ed8-9f32-4e24-a49b-9a20007935e4,5,6,"{'temperature': 29.13, 'humidity': 41.84}",1746645744.5581975
node27,172.20.0.27,359d3ed8-9f32-4e24-a49b-9a20007935e4,5,6,"{'temperature': 29.13, 'humidity': 41.84}",1746645744.6618974
node64,172.21.0.12,359d3ed8-9f32-4e24-a49b-9a20007935e4,7,4,"{'temperature': 29.13, 'humidity': 41.84}",1746645744.6630898
node27,172.20.0.27,359d3ed8-9f32-4e24-a49b-9a20007935e4,5,6,"{'temperature': 29.13, 'humidity': 41.84}",1746645744.762895
node64,172.21.0.12,359d3ed8-9f32-4e24-a49b-9a20007935e4,7,4,"{'temperature': 29.13, 'humidity': 41.84}",1746645744.7667136
node27,172.20.0.27,359d3ed8-9f32-4e24-a49b-9a20007935e4,5,6,"{'temperature': 29.13, 'humidity': 41.84}",1746645744.8637733
node64,172.21.0.12,359d3ed8-9f32-4e24-a49b-9a20007935e4,7,4,"{'temperature': 29.13, 'humidity': 41.84}",1746645744.8677416
node64,172.21.0.12,359d3ed8-9f32-4e24-a49b-9a20007935e4,7,4,"{'temperature': 29.13, 'humidity': 41.84}",1746645744.9688008
node63,172.21.0.31,359d3ed8-9f32-4e24-a49b-9a20007935e4,9,2,"{'temperature': 29.13, 'humidity': 41.84}",1746645744.976353
node63,172.21.0.31,359d3ed8-9f32-4e24-a49b-9a20007935e4,9,2,"{'temperature': 29.13, 'humidity': 41.84}",1746645745.078694
node72,172.21.0.33,359d3ed8-9f32-4e24-a49b-9a20007935e4,9,2,"{'temperature': 29.13, 'humidity': 41.84}",1746645745.1739643
