node,received,sent,energy
node120,24,0.0,12.0
node116,24,0.0,12.0
node1,24,0.0,12.0
node118,24,0.0,12.0
node119,24,0.0,12.0
node117,24,0.0,12.0
node113,21,0.0,10.5
node89,20,0.0,10.0
node80,20,0.0,10.0
node85,20,0.0,10.0
node91,20,0.0,10.0
node81,20,0.0,10.0
node103,20,0.0,10.0
node97,20,0.0,10.0
node99,20,0.0,10.0
node107,20,0.0,10.0
node90,20,0.0,10.0
node110,20,0.0,10.0
node114,20,0.0,10.0
node75,20,0.0,10.0
node83,20,0.0,10.0
node101,20,0.0,10.0
node76,20,0.0,10.0
node102,20,0.0,10.0
node92,20,0.0,10.0
node109,20,0.0,10.0
node105,20,0.0,10.0
node100,20,0.0,10.0
node115,20,0.0,10.0
node84,20,0.0,10.0
node111,20,0.0,10.0
node104,20,0.0,10.0
node108,20,0.0,10.0
node74,20,0.0,10.0
node82,20,0.0,10.0
node79,20,0.0,10.0
node73,20,0.0,10.0
node112,20,0.0,10.0
node78,20,0.0,10.0
node88,20,0.0,10.0
node96,20,0.0,10.0
node87,20,0.0,10.0
node94,20,0.0,10.0
node98,20,0.0,10.0
node86,20,0.0,10.0
node71,20,0.0,10.0
node64,20,0.0,10.0
node77,20,0.0,10.0
node63,20,0.0,10.0
node95,20,0.0,10.0
node72,20,0.0,10.0
node93,20,0.0,10.0
node106,20,0.0,10.0
node70,17,0.0,8.5
node45,16,0.0,8.0
node38,16,0.0,8.0
node34,16,0.0,8.0
node57,16,0.0,8.0
node48,16,0.0,8.0
node37,16,0.0,8.0
node51,16,0.0,8.0
node52,16,0.0,8.0
node59,16,0.0,8.0
node30,16,0.0,8.0
node25,16,0.0,8.0
node54,16,0.0,8.0
node29,16,0.0,8.0
node47,16,0.0,8.0
node28,16,0.0,8.0
node69,16,0.0,8.0
node66,16,0.0,8.0
node40,16,0.0,8.0
node43,16,0.0,8.0
node68,16,0.0,8.0
node26,16,0.0,8.0
node32,16,0.0,8.0
node41,16,0.0,8.0
node61,16,0.0,8.0
node36,16,0.0,8.0
node44,16,0.0,8.0
node58,16,0.0,8.0
node56,16,0.0,8.0
node67,16,0.0,8.0
node27,16,0.0,8.0
node60,16,0.0,8.0
node62,16,0.0,8.0
node65,16,0.0,8.0
node39,16,0.0,8.0
node42,16,0.0,8.0
node53,16,0.0,8.0
node55,16,0.0,8.0
node46,16,0.0,8.0
node49,16,0.0,8.0
node50,16,0.0,8.0
node33,16,0.0,8.0
node23,12,0.0,6.0
node18,12,0.0,6.0
node11,12,0.0,6.0
node7,12,0.0,6.0
node17,12,0.0,6.0
node14,12,0.0,6.0
node5,12,0.0,6.0
node10,12,0.0,6.0
node19,12,0.0,6.0
node15,12,0.0,6.0
node12,12,0.0,6.0
node3,12,0.0,6.0
node13,12,0.0,6.0
node21,12,0.0,6.0
node6,12,0.0,6.0
node24,12,0.0,6.0
node16,12,0.0,6.0
node9,12,0.0,6.0
node2,12,0.0,6.0
node4,12,0.0,6.0
node22,12,0.0,6.0
node8,12,0.0,6.0
node20,12,0.0,6.0
node35,4,0.0,2.0
node31,4,0.0,2.0
