node,from,msg_id,hop,ttl,payload,timestamp
node93,172.20.0.32,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.5867603
node93,172.20.0.32,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.6905942
node93,172.20.0.32,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.7915082
node91,172.20.0.28,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.7967339
node93,172.20.0.32,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.8928866
node95,172.20.0.19,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.8929632
node91,172.20.0.28,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.8994896
node95,172.20.0.19,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.9967306
node91,172.20.0.28,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.0014517
node95,172.20.0.19,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.0982184
node109,172.20.0.24,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.098618
node105,172.20.0.10,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.1009355
node91,172.20.0.28,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.102969
node95,172.20.0.19,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.1999536
node98,172.20.0.24,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.2001224
node109,172.20.0.24,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.2010388
node105,172.20.0.10,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.2039297
node100,172.20.0.12,482eb30a-243d-47be-b351-618fe930caa8,10,1,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.2108085
node109,172.20.0.24,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.3026824
node105,172.20.0.10,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.3048608
node98,172.20.0.24,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.3085868
node100,172.20.0.12,482eb30a-243d-47be-b351-618fe930caa8,10,1,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.3166635
node109,172.20.0.24,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.4037251
node105,172.20.0.10,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.4056454
node98,172.20.0.24,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.409461
node112,172.20.0.25,482eb30a-243d-47be-b351-618fe930caa8,11,0,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.4147444
node100,172.20.0.12,482eb30a-243d-47be-b351-618fe930caa8,10,1,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.4173985
node98,172.20.0.24,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.5107245
node115,172.20.0.17,482eb30a-243d-47be-b351-618fe930caa8,11,0,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.5170517
node100,172.20.0.12,482eb30a-243d-47be-b351-618fe930caa8,10,1,"{'temperature': 24.26, 'humidity': 59.59}",1746643941.518404
node93,172.20.0.32,249fff74-e05f-4deb-9b44-ba42436478de,7,4,"{'temperature': 23.35, 'humidity': 40.56}",1746643950.881004
node93,172.20.0.32,249fff74-e05f-4deb-9b44-ba42436478de,7,4,"{'temperature': 23.35, 'humidity': 40.56}",1746643950.9817576
node93,172.20.0.32,249fff74-e05f-4deb-9b44-ba42436478de,7,4,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.086608
node91,172.20.0.28,249fff74-e05f-4deb-9b44-ba42436478de,8,3,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.0875835
node93,172.20.0.32,249fff74-e05f-4deb-9b44-ba42436478de,7,4,"{'temperature': 23.35, 'humidity': 40.56}",1746643951.1877792
