node,from,msg_id,hop,ttl,payload,timestamp
mesh-nodes-c466b6db7-74zbt,10.244.0.28,2d113419-a83b-47eb-b16c-900f3ae691f4,2,24,"{'temperature': 22.69, 'humidity': 58.19}",1746654186.063053
mesh-nodes-c466b6db7-whplm,10.244.0.28,3742eaff-0172-4d7d-9b1c-18e4c362957c,2,24,"{'temperature': 20.59, 'humidity': 40.97}",1746654187.0684392
mesh-nodes-c466b6db7-tss5k,10.244.0.28,3742eaff-0172-4d7d-9b1c-18e4c362957c,2,24,"{'temperature': 20.59, 'humidity': 40.97}",1746654187.068629
mesh-nodes-c466b6db7-9x28m,10.244.0.28,3742eaff-0172-4d7d-9b1c-18e4c362957c,2,24,"{'temperature': 20.59, 'humidity': 40.97}",1746654187.96695
mesh-nodes-c466b6db7-gdp5q,10.244.0.82,3742eaff-0172-4d7d-9b1c-18e4c362957c,3,23,"{'temperature': 20.59, 'humidity': 40.97}",1746654187.9706142
mesh-nodes-c466b6db7-6m8wf,10.244.0.82,3742eaff-0172-4d7d-9b1c-18e4c362957c,3,23,"{'temperature': 20.59, 'humidity': 40.97}",1746654187.9708207
mesh-nodes-c466b6db7-5d864,10.244.0.82,3742eaff-0172-4d7d-9b1c-18e4c362957c,3,23,"{'temperature': 20.59, 'humidity': 40.97}",1746654187.9710565
mesh-nodes-c466b6db7-9tbtf,10.244.0.82,3742eaff-0172-4d7d-9b1c-18e4c362957c,3,23,"{'temperature': 20.59, 'humidity': 40.97}",1746654187.9713356
mesh-nodes-c466b6db7-lxwvp,10.244.0.28,e500d058-d218-499e-9aac-399953f0cebe,2,24,"{'temperature': 28.13, 'humidity': 56.97}",1746654188.069597
mesh-nodes-c466b6db7-mthck,10.244.0.28,e500d058-d218-499e-9aac-399953f0cebe,2,24,"{'temperature': 28.13, 'humidity': 56.97}",1746654188.0701241
mesh-nodes-c466b6db7-km76l,10.244.0.28,e500d058-d218-499e-9aac-399953f0cebe,2,24,"{'temperature': 28.13, 'humidity': 56.97}",1746654188.0715501
mesh-nodes-c466b6db7-x5zrb,10.244.0.108,e500d058-d218-499e-9aac-399953f0cebe,3,23,"{'temperature': 28.13, 'humidity': 56.97}",1746654188.073397
mesh-nodes-c466b6db7-q4m9k,10.244.0.121,e500d058-d218-499e-9aac-399953f0cebe,4,22,"{'temperature': 28.13, 'humidity': 56.97}",1746654188.0759346
mesh-nodes-c466b6db7-tw4tt,10.244.0.121,e500d058-d218-499e-9aac-399953f0cebe,4,22,"{'temperature': 28.13, 'humidity': 56.97}",1746654188.0761745
mesh-nodes-c466b6db7-sn9q5,10.244.0.28,2d113419-a83b-47eb-b16c-900f3ae691f4,2,24,"{'temperature': 22.69, 'humidity': 58.19}",1746654188.0773637
mesh-nodes-c466b6db7-m796j,10.244.0.59,e500d058-d218-499e-9aac-399953f0cebe,5,21,"{'temperature': 28.13, 'humidity': 56.97}",1746654188.0791414
mesh-nodes-c466b6db7-hpmm9,10.244.0.59,e500d058-d218-499e-9aac-399953f0cebe,5,21,"{'temperature': 28.13, 'humidity': 56.97}",1746654188.0801587
mesh-nodes-c466b6db7-b4fzp,10.244.0.59,e500d058-d218-499e-9aac-399953f0cebe,5,21,"{'temperature': 28.13, 'humidity': 56.97}",1746654188.0801764
mesh-nodes-c466b6db7-clhxr,10.244.0.75,2d113419-a83b-47eb-b16c-900f3ae691f4,3,23,"{'temperature': 22.69, 'humidity': 58.19}",1746654188.0804162
mesh-nodes-c466b6db7-x7vnb,10.244.0.59,e500d058-d218-499e-9aac-399953f0cebe,5,21,"{'temperature': 28.13, 'humidity': 56.97}",1746654188.0808814
