node,received,sent,energy
mesh-nodes-c466b6db7-9x28m,28,0.0,14.0
mesh-nodes-c466b6db7-vz94f,27,0.0,13.5
mesh-nodes-c466b6db7-947z8,27,0.0,13.5
mesh-nodes-c466b6db7-xw2bt,27,0.0,13.5
mesh-nodes-c466b6db7-s2r2f,26,0.0,13.0
mesh-nodes-c466b6db7-jk2sv,26,0.0,13.0
mesh-nodes-c466b6db7-g958b,26,0.0,13.0
mesh-nodes-c466b6db7-5d864,26,0.0,13.0
mesh-nodes-c466b6db7-xqsgt,26,0.0,13.0
mesh-nodes-c466b6db7-qlcmd,26,0.0,13.0
mesh-nodes-c466b6db7-m8dph,26,0.0,13.0
mesh-nodes-c466b6db7-t9k2l,25,0.0,12.5
mesh-nodes-c466b6db7-pcd7p,25,0.0,12.5
mesh-nodes-c466b6db7-dtvlj,25,0.0,12.5
mesh-nodes-c466b6db7-svbnj,25,0.0,12.5
mesh-nodes-c466b6db7-888fn,25,0.0,12.5
mesh-nodes-c466b6db7-pm5fj,24,0.0,12.0
mesh-nodes-c466b6db7-hpmm9,24,0.0,12.0
mesh-nodes-c466b6db7-cwmcl,24,0.0,12.0
mesh-nodes-c466b6db7-pfhck,24,0.0,12.0
mesh-nodes-c466b6db7-km76l,24,0.0,12.0
mesh-nodes-c466b6db7-jvzwj,24,0.0,12.0
mesh-nodes-c466b6db7-78mt9,23,0.0,11.5
mesh-nodes-c466b6db7-tw4tt,23,0.0,11.5
mesh-nodes-c466b6db7-pfkdl,23,0.0,11.5
mesh-nodes-c466b6db7-w56gb,23,0.0,11.5
mesh-nodes-c466b6db7-w628r,23,0.0,11.5
mesh-nodes-c466b6db7-hb2wj,23,0.0,11.5
mesh-nodes-c466b6db7-tk9mz,23,0.0,11.5
mesh-nodes-c466b6db7-6xz6v,22,0.0,11.0
mesh-nodes-c466b6db7-b8njg,22,0.0,11.0
mesh-nodes-c466b6db7-n7t9b,22,0.0,11.0
mesh-nodes-c466b6db7-qbddd,22,0.0,11.0
mesh-nodes-c466b6db7-kw2kv,22,0.0,11.0
mesh-nodes-c466b6db7-x5x5q,22,0.0,11.0
mesh-nodes-c466b6db7-sn9q5,22,0.0,11.0
mesh-nodes-c466b6db7-jnb8s,21,0.0,10.5
mesh-nodes-c466b6db7-v44k2,21,0.0,10.5
mesh-nodes-c466b6db7-l9smq,21,0.0,10.5
mesh-nodes-c466b6db7-bl4rn,21,0.0,10.5
mesh-nodes-c466b6db7-2gcld,21,0.0,10.5
mesh-nodes-c466b6db7-9v575,21,0.0,10.5
mesh-nodes-c466b6db7-9tbtf,21,0.0,10.5
mesh-nodes-c466b6db7-24nm8,21,0.0,10.5
mesh-nodes-c466b6db7-b4fzp,21,0.0,10.5
mesh-nodes-c466b6db7-mthck,21,0.0,10.5
mesh-nodes-c466b6db7-xrxtz,20,0.0,10.0
mesh-nodes-c466b6db7-mflt5,20,0.0,10.0
mesh-nodes-c466b6db7-2vrk4,20,0.0,10.0
mesh-nodes-c466b6db7-6lr9z,20,0.0,10.0
mesh-nodes-c466b6db7-svmsx,20,0.0,10.0
mesh-nodes-c466b6db7-nhf7t,20,0.0,10.0
mesh-nodes-c466b6db7-lxwvp,20,0.0,10.0
mesh-nodes-c466b6db7-b7f9l,19,0.0,9.5
mesh-nodes-c466b6db7-tss5k,19,0.0,9.5
mesh-nodes-c466b6db7-st8lg,19,0.0,9.5
mesh-nodes-c466b6db7-vsj94,19,0.0,9.5
mesh-nodes-c466b6db7-zlgzm,19,0.0,9.5
mesh-nodes-c466b6db7-zv2rm,19,0.0,9.5
mesh-nodes-c466b6db7-vsgz7,19,0.0,9.5
mesh-nodes-c466b6db7-v6fb5,19,0.0,9.5
mesh-nodes-c466b6db7-m796j,19,0.0,9.5
mesh-nodes-c466b6db7-4m8zr,19,0.0,9.5
mesh-nodes-c466b6db7-krlfz,19,0.0,9.5
mesh-nodes-c466b6db7-q2jbv,19,0.0,9.5
mesh-nodes-c466b6db7-qz6n4,18,0.0,9.0
mesh-nodes-c466b6db7-pthf2,18,0.0,9.0
mesh-nodes-c466b6db7-bgcbn,18,0.0,9.0
mesh-nodes-c466b6db7-p7ff8,18,0.0,9.0
mesh-nodes-c466b6db7-dzjrm,18,0.0,9.0
mesh-nodes-c466b6db7-74zbt,18,0.0,9.0
mesh-nodes-c466b6db7-fnc4f,18,0.0,9.0
mesh-nodes-c466b6db7-gdp5q,18,0.0,9.0
mesh-nodes-c466b6db7-6m8wf,18,0.0,9.0
mesh-nodes-c466b6db7-x5zrb,18,0.0,9.0
mesh-nodes-c466b6db7-htktn,18,0.0,9.0
mesh-nodes-c466b6db7-788l2,18,0.0,9.0
mesh-nodes-c466b6db7-w24xt,18,0.0,9.0
mesh-nodes-c466b6db7-qpc94,17,0.0,8.5
mesh-nodes-c466b6db7-mxs64,17,0.0,8.5
mesh-nodes-c466b6db7-kk2hv,17,0.0,8.5
mesh-nodes-c466b6db7-znss4,17,0.0,8.5
mesh-nodes-c466b6db7-2jl6b,17,0.0,8.5
mesh-nodes-c466b6db7-hfg8n,17,0.0,8.5
mesh-nodes-c466b6db7-qs9ql,17,0.0,8.5
mesh-nodes-c466b6db7-2fgxc,17,0.0,8.5
mesh-nodes-c466b6db7-whplm,17,0.0,8.5
mesh-nodes-c466b6db7-xxdnn,17,0.0,8.5
mesh-nodes-c466b6db7-q57mq,16,0.0,8.0
mesh-nodes-c466b6db7-jzf8c,16,0.0,8.0
mesh-nodes-c466b6db7-rnxng,16,0.0,8.0
mesh-nodes-c466b6db7-b6t7m,16,0.0,8.0
mesh-nodes-c466b6db7-2vg4j,16,0.0,8.0
mesh-nodes-c466b6db7-lcl2q,16,0.0,8.0
mesh-nodes-c466b6db7-x7vnb,15,0.0,7.5
mesh-nodes-c466b6db7-qz4j9,15,0.0,7.5
mesh-nodes-c466b6db7-25j5p,15,0.0,7.5
mesh-nodes-c466b6db7-q4m9k,15,0.0,7.5
mesh-nodes-c466b6db7-bgbtk,15,0.0,7.5
mesh-nodes-c466b6db7-gz5rf,15,0.0,7.5
mesh-nodes-c466b6db7-d5vn7,15,0.0,7.5
mesh-nodes-c466b6db7-qh5wp,15,0.0,7.5
mesh-nodes-c466b6db7-lh58r,15,0.0,7.5
mesh-nodes-c466b6db7-9bjcl,15,0.0,7.5
mesh-nodes-c466b6db7-5q9l9,15,0.0,7.5
mesh-nodes-c466b6db7-f55zc,15,0.0,7.5
mesh-nodes-c466b6db7-x87mg,14,0.0,7.0
mesh-nodes-c466b6db7-mrcxn,14,0.0,7.0
mesh-nodes-c466b6db7-mp79b,14,0.0,7.0
mesh-nodes-c466b6db7-clhxr,14,0.0,7.0
mesh-nodes-c466b6db7-2hg8z,14,0.0,7.0
mesh-nodes-c466b6db7-b7bdr,13,0.0,6.5
mesh-nodes-c466b6db7-8s6f5,13,0.0,6.5
mesh-nodes-c466b6db7-jt98p,13,0.0,6.5
mesh-nodes-c466b6db7-ln9xf,12,0.0,6.0
mesh-nodes-c466b6db7-x64h5,12,0.0,6.0
mesh-nodes-c466b6db7-77dkw,12,0.0,6.0
mesh-nodes-c466b6db7-dsg85,11,0.0,5.5
mesh-nodes-c466b6db7-swgqm,10,0.0,5.0
mesh-nodes-c466b6db7-2zv7t,9,0.0,4.5
